question_id,question,system,answer,sources,correctness,relevance,completeness
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,LLM-only,"As the spouse of a British citizen, the most appropriate visa for you would be the **Spouse Visa** (also known as the **Family Visa – Partner route**). This visa allows you to live, work, and study in the UK, and it can lead to settlement (Indefinite Leave to Remain) after a qualifying period.

## Key Requirements

To qualify for a Spouse Visa, you and your wife must meet the following criteria:

### 1. Relationship Requirement
- You must be legally married or in a civil partnership recognised in the UK
- Your relationship must be genuine and subsisting
- You must intend to live together permanently in the UK

### 2. Financial Requirement
Your British citizen spouse must demonstrate a minimum income threshold of **£29,000 per year** (gross) before tax. This can be met through:
- Employment or self-employment income
- Cash savings above £16,000 (the formula is: savings minus £16,000, divided by 2.5, added to income)
- Non-employment income (e.g., rental income, pension)
- A combination of the above

### 3. Accommodation Requirement
You must show that you have adequate accommodation for you and your wife (and any dependants) without recourse to public funds.

### 4. English Language Requirement
You must prove your knowledge of English by either:
- Passing an approved English language test at CEFR level A1 or above (for initial application)
- Holding a degree taught or researched in English
- Being a national of a majority English-speaking country

## Application Process

1. **Apply online** via the UK Visas and Immigration (UKVI) website
2. **Pay the fees** – currently £1,846 for applications made outside the UK (plus Immigration Health Surcharge of £1,035 per year)
3. **Submit biometrics** at a visa application centre
4. **Provide supporting documents** (marriage certificate, financial evidence, accommodation proof, English language certificate, etc.)

## Visa Duration and Settlement

- The initial visa is granted for **2 years and 9 months** (if applying from outside the UK)
- You will need to extend for a further **2 years and 6 months**
- After **5 years** of continuous residence on this route, you may apply for **Indefinite Leave to Remain (ILR)**
- After holding ILR for 12 months (and meeting other requirements), you may apply for **British citizenship**

## Important Note

If you are currently outside the UK, you must apply from your country of residence. If you are already in the UK on another visa, you may be able to switch to the Spouse Visa from within the UK, provided your current visa allows it.

Would you like more detailed information on any specific requirement, such as the financial threshold or the English language test?",,1,2,2
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,RAG,"Based on the context provided, if your wife is a British citizen and you want to move to the UK to live with her, you should apply for a **family visa**.

According to Source 3, if you are a family member of a British citizen, you can no longer apply for an EU Settlement Scheme family permit (this was known as a ‘Surinder Singh’ application). Instead, it states: **“You may be able to apply for a family visa.”**

Source 1 also indicates that the visa you need depends on who you are marrying and whether you want to live in the UK after, and it directs applicants to check the family visa route.

For detailed guidance on eligibility requirements, financial thresholds, and the application process for a family visa as the spouse or partner of a British citizen, please check the official UK government website or consult a qualified immigration adviser.",https://www.gov.uk/family-permit?step-by-step-nav=b86a99b4-40be-4c12-a61c-9fac22e53ddc | https://www.gov.uk/visas-partner-dies | https://www.gov.uk/family-permit/if-living-outside-uk-with-british-citizen | https://www.gov.uk/visas-when-you-separate-or-divorce,2,2,1
Q02,What is the minimum income requirement for a partner or spouse family visa?,LLM-only,"As of April 2024, the minimum income requirement for a partner or spouse family visa under Appendix FM of the UK Immigration Rules is **£29,000 per year** (gross).

This applies to the sponsoring partner (the person already settled in the UK or with British citizenship) unless they are in receipt of certain benefits, in which case the adequate maintenance test applies instead.

**Key points:**

- The £29,000 figure is the **minimum income threshold** — if you have dependent children who are not British or settled, additional income may be required.
- Income can be met through employment, self-employment, savings, pension, or certain other specified sources.
- **Savings** can be used to supplement income: savings above £16,000 can be counted, with the formula being (savings – £16,000) ÷ 2.5 years.
- The threshold was raised from £18,600 to £29,000 on **11 April 2024**.
- The previous government had announced plans to raise it further to £34,500 and then £38,700, but the current government has paused these increases pending a review by the Migration Advisory Committee.

If the application is made under the **5-year partner route**, the same £29,000 threshold applies at both initial application and extension stages.

Would you like details on how income can be combined or evidenced?",,1,2,2
Q02,What is the minimum income requirement for a partner or spouse family visa?,RAG,"Based on the provided context, the minimum income requirement for a partner or spouse family visa is **£29,000 a year** for most applicants.

Source 1 states:

> ""If you apply for a family visa as a partner, you and your partner usually need to prove that your combined income is at least £29,000 a year.""

However, there are exceptions. Source 4 notes that if you first applied as a partner before 11 April 2024 and are extending that visa with the same partner, the requirement is lower:

> ""If you’re extending your stay with the same partner, you and your partner will need to prove that your combined income is at least £18,600 a year.""

Additionally, Source 2 (from the Immigration Rules) mentions a different figure of **£23,496** in the context of the Armed Forces financial requirement (AF 31.2), which applies specifically to certain HM Armed Forces cases rather than the standard partner visa route.

So, in summary:
- **Standard partner/spouse visa:** £29,000 per year
- **Extension where first application was before 11 April 2024:** £18,600 per year
- **Armed Forces cases (per Immigration Rules):** £23,496 per year

For detailed guidance on your specific circumstances, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/uk-family-visa/proof-income-partner | immigration_data\immigration_rules_full_20260630.pdf | https://www.gov.uk/uk-family-visa/print,2,2,2
Q03,What evidence can I provide to prove that my relationship with my partner is genuine?,LLM-only,"As a UK immigration advisor, I can outline the types of evidence typically accepted by UK Visas and Immigration (UKVI) to demonstrate that your relationship with your partner is genuine and subsisting. The key is to provide a broad range of evidence covering different aspects of your life together over time.

## Core Evidence

**Proof of cohabitation** (if you live together):
- Tenancy agreement or mortgage statement in both names
- Council tax bills
- Utility bills (gas, electricity, water) in joint names or individually addressed to the same address
- Bank statements showing the same address
- Official correspondence (HMRC, NHS, DVLA, etc.) to the same address

**Proof of relationship history:**
- Marriage or civil partnership certificate (if applicable)
- Photographs together across different periods and locations (including with family and friends)
- Evidence of how you met and how your relationship developed (a timeline or written statement)
- Evidence of communication during periods apart (call logs, WhatsApp/Skype screenshots, emails)

## Financial Interdependence

- Joint bank account statements showing shared expenses
- Evidence of money transfers between you
- Joint savings or investments
- Shared insurance policies (life, home, car)
- Evidence of one partner being named as beneficiary on the other's pension or life insurance

## Shared Responsibilities

- Joint utility or service contracts (broadband, mobile phone family plans)
- Evidence of shared childcare responsibilities (if applicable)
- Joint purchases or loans (car finance, furniture)
- Evidence of shared household expenses

## Social Evidence

- Wedding or civil partnership photographs and invitations
- Evidence of joint travel (flight bookings, hotel reservations, passport stamps)
- Letters or cards addressed to both of you
- Social media posts showing your relationship
- Statements from friends and family confirming your relationship

## If You Live Apart

- Detailed explanation of why you live apart (work, study, family commitments)
- Evidence of regular visits (travel tickets, boarding passes)
- Frequent communication records
- Evidence of future plans to live together

## Important Tips

1. **Provide evidence across the entire relationship**, not just recent months
2. **Explain any gaps** in cohabitation or unusual circumstances
3. **Use a covering letter** to explain your evidence and relationship timeline
4. **Quality over quantity** — select the strongest, clearest evidence
5. **Translate any documents** not in English or Welsh by a certified translator

Would you like me to clarify any specific type of evidence or discuss your particular circumstances in more detail?",,2,2,2
Q03,What evidence can I provide to prove that my relationship with my partner is genuine?,RAG,"Based on the provided context, you can provide the following evidence to prove your relationship is genuine:

- **A marriage or civil partnership certificate** – this confirms the relationship and includes the name of the applicant and the husband, wife or civil partner (Source 1; Source 3).
- **For unmarried or same-sex relationships similar to marriage or civil partnership**, you must provide **at least three of the following specified documents covering a full two-year period immediately before the date of application** (Source 1; Source 3):
  1. a bank statement or letter from a bank confirming a joint bank account held in both names
  2. an official document such as a mortgage agreement showing a joint mortgage
  3. official documents such as deeds of ownership or a mortgage agreement showing a joint investment, such as in property or business
  4. a joint rent (tenancy) agreement
  5. any other official correspondence linking both partners to the same address

Source 2 also confirms that when applying, you can use a marriage or civil partnership certificate for your partner, and suggests checking what other documents can be used to prove your relationship.

For detailed guidance tailored to your specific circumstances, please check the official UK government website or consult a professional immigration adviser.",immigration_data\immigration_rules_full_20260630.pdf | https://www.gov.uk/student-visa/family-members | https://www.gov.uk/guidance/immigration-rules/immigration-rules-appendix-a-attributes,1,2,1
Q04,"I want to come to the UK to marry my British partner. How long can I stay as a fiancé or fiancée, and what happens after we marry?",LLM-only,"As a UK immigration advisor, here is the key information you need:

**Fiancé(e) Visa – Length of Stay**

A Fiancé(e) visa (officially a ""Marriage Visitor"" visa or a ""Fiancé(e) visa"" under the Family Route) is granted for **6 months**. During this time:

- You must marry or enter into a civil partnership within that 6-month period.
- You **cannot work** or claim public funds while on this visa.
- You cannot switch to a spouse visa from within the UK on a Marriage Visitor visa (if you applied for that category). However, if you applied for a Fiancé(e) visa under the Family Route (Appendix FM), you **can** switch to a spouse visa from within the UK after marriage.

**Important distinction:**

- **Marriage Visitor visa** – for those who intend to marry in the UK but then leave the UK afterwards. You cannot switch to a spouse visa from within the UK; you must return home and apply from there.
- **Fiancé(e) visa (Family Route / Appendix FM)** – for those who intend to marry in the UK and then settle here with their partner. This is the correct route if you plan to live in the UK after marriage.

**After You Marry**

If you entered on a **Fiancé(e) visa under the Family Route**, after your wedding or civil partnership you can apply to **switch to a Spouse/Partner visa (FLR(M))** from within the UK. This visa is initially granted for **30 months (2.5 years)**, and can be extended for a further 30 months. After 5 years on this route, you may be eligible to apply for **Indefinite Leave to Remain (settlement)**.

**Key requirements for switching to a Spouse visa after marriage:**

- Your partner must be a British citizen or settled in the UK.
- You must meet the **financial requirement** (currently a minimum income threshold of £29,000 per year for most applications, rising to £34,500 in 2025 and £38,700 by early 2025 – please check the latest rules as these have been changing).
- You must have **adequate accommodation**.
- You must demonstrate a **genuine and subsisting relationship**.
- You must meet the **English language requirement** (A1 level for the initial spouse visa).

**Summary timeline:**

1. Apply for Fiancé(e) visa (Family Route) → granted 6 months.
2. Marry within 6 months.
3. Apply to switch to Spouse visa (FLR(M)) → granted 30 months.
4. Extend after 30 months → another 30 months.
5. After 5 years total on the spouse route → apply for Indefinite Leave to Remain.

Would you like more detail on the financial requirement, documentation, or the application process itself?",,1,2,2
Q04,"I want to come to the UK to marry my British partner. How long can I stay as a fiancé or fiancée, and what happens after we marry?",RAG,"Based on the provided context, here is the relevant information:

**How long you can stay as a fiancé(e) and what happens after marriage:**

The context indicates that as a fiancé, fiancée, or proposed civil partner, you must intend to marry or enter into a civil partnership in the UK **within 6 months of arriving** (Source 1 and Source 2).

After the marriage or civil partnership takes place, you would typically need to apply for further permission to stay as a partner. The context does not specify the exact length of the initial fiancé(e) visa, but it confirms the requirement that the marriage must occur within 6 months of arrival.

**Additional requirements mentioned:**

- You must prove you have a good knowledge of English (Source 1).
- You must meet the financial requirements (Source 1).
- For an extension of stay as a fiancé(e), the decision maker must be satisfied there is a good reason for any delay and that the marriage will take place within 6 months of the date of application (Source 3 and Source 4).

For detailed guidance on the specific visa duration and the process for switching to a spouse visa after marriage, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/uk-family-visa/partner-spouse | https://www.gov.uk/stay-in-uk-stateless | https://www.gov.uk/government/publications/exempt-exm/appendix-hm-armed-forces-caseworker-guidance-accessible | immigration_data\immigration_rules_full_20260630.pdf,2,2,1
Q05,How much money do I need to show when applying for a UK Student visa?,LLM-only,"As a UK immigration adviser, I can confirm that the financial requirement for a Student visa depends on **where you will be studying** and **whether you have paid any money towards your accommodation**.

### 1. Course fees
You must show that you have enough money to cover:
- **The full first year of course fees** (or the entire course if it is less than one year), **minus** any fees you have already paid.

### 2. Living costs (maintenance)
The amount required for living costs depends on your study location:

| Study location | Money needed per month | Maximum period you must show |
|---|---|---|
| **Inside London** | £1,483 | Up to 9 months |
| **Outside London** | £1,136 | Up to 9 months |

- If your course is **9 months or longer**, you must show **9 months** of living costs.
- If your course is **shorter than 9 months**, you must show living costs for **each month of the course**.

### 3. Dependants (if applicable)
If you are bringing a partner or children, you must show additional funds:
- **£845 per month** for a dependant in London (up to 9 months)
- **£680 per month** for a dependant outside London (up to 9 months)

### 4. Accommodation deposits
If you have already paid a deposit for university accommodation, you can deduct **up to £1,334** from the living costs requirement.

---

### Example calculation (outside London, 12-month course)
- Course fees: £15,000
- Living costs: £1,136 × 9 = **£10,224**
- **Total to show: £25,224** (minus any fees already paid)

---

### Important rules
- The money must be held in an acceptable account (e.g., current or savings account) for **at least 28 consecutive days** before the application date.
- The closing balance must not have dropped below the required amount during that 28-day period.
- Bank statements must be **no older than 31 days** on the date of application.
- If using a parent’s account, you must provide evidence of your relationship and their permission to use the funds.

### Exemptions
You do **not** need to show financial evidence if:
- You have held a valid UK visa for **at least 12 months** at the time of application, or
- You are applying as a **Student Union Sabbatical Officer**, or
- You are a **doctor or dentist in training** on a recognised foundation programme.

Would you like me to calculate the exact amount for your specific situation?",,1,2,2
Q05,How much money do I need to show when applying for a UK Student visa?,RAG,"Based on the provided context, the amount of money you need to show depends on your circumstances and what you’re applying for. Specifically:

- **Course fee:** You need enough money to pay for your course for 1 academic year (up to 9 months). The amount will be stated on your Confirmation of Acceptance for Studies (CAS).  
- **Money to support yourself (‘financial requirement’):** You’ll need to show you have enough money to support yourself. How much you need depends on where you will be studying.  

The context also notes that if you’ve been in the UK with a valid visa for at least 12 months on the date of your application, you do not need to prove you have this money for your visa application.

Source: https://www.gov.uk/student-visa/money and https://www.gov.uk/student-visa/print

For detailed guidance on the exact amounts and how to prove the funds, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/student-visa/money | https://www.gov.uk/student-visa/print,2,2,1
