question_id,question,method,rank,passage_id,score,source,passage,relevant
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,BM25,1,2b68bf589c98,53.94161525,https://www.gov.uk/government/consultations/draft-legislation-to-help-more-people-prove-their-identity-online/consultation-on-draft-legislation-to-support-identity-verification,. Question 11 Do you have further comments on this proposed objective? Question 12 Please indicate whether you are happy for the relevant points and comments you have made to be published in the consultation summary report: I am happy for my responses to be published alongside my name and organisation I am happy for my responses to be published alongside my organisation I am happy for my responses to be published anonymously I do not want any of my responses to be published Timetable A provisional timetable for introducing the power is set out below. Please be aware this may be subject to change as we will progress through the parliamentary process. A final timetable will be confirmed following the consultation period and published on GOV.UK,0
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,BM25,2,9e56dcc9a3ae,51.82097662,https://www.gov.uk/service-manual/user-research/start-by-learning-user-needs,". Writing user needs Once you have a good understanding of your users’ needs, you should write them down and add them to your descriptions of users. User needs are usually written in the format: I need/want/expect to… [what does the user want to do?] So that… [why does the user want to do this?] If it’s helpful, you can add: As a… [which type of user has this need?] When… [what triggers the user’s need?] Because… [is the user constrained by any circumstances?] Example: As a [British person] I need [to provide proof of my identity and visa permissions to border control] So that [I can travel abroad and prove my identity] Write user needs from a personal perspective using words that users would recognise and use themselves",0
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,BM25,3,9b5152e6b905,48.58627182,https://www.gov.uk/family-permit?step-by-step-nav=b86a99b4-40be-4c12-a61c-9fac22e53ddc,". After you’ve applied If your application is successful, check how long your permit lasts and when you can apply to stay longer in the UK . If you’re living outside the UK with a British citizen You can no longer apply for an EU Settlement Scheme family permit if you’re a family member of a British citizen who you lived with in the EU, Switzerland, Norway, Iceland or Liechtenstein . View a printable version of the whole guide This page is Part of Come to the UK to get married Step 1 : Check if you need a visa Check if you need a visa Step 2 : Apply for a visa The visa you need depends on who you’re marrying and whether you want to live in the UK after",0
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,BM25,4,8597834be881,48.49717,https://www.gov.uk/government/news/millions-to-get-faster-easier-access-to-government-support-with-new-ai-tool,". How can the government help me?” “What free childcare am I entitled to?” “How do I get maternity pay?” “How can I find an apprenticeship?” “What government schemes are available to help me buy my first home?” “How much Stamp Duty will I pay as a first-time buyer?” “I’m coming up to retirement - what benefits might I be entitled to?” “What is Pension Credit and would I get it?” “How do I find out how much State Pension I’ll get?” “How do I set up a limited company?” “What government support is available to help my business grow?” In each case, GOV.UK Chat draws on information from across GOV.UK to provide clear answers, relevant links, and signposting to tools such as the childcare calculator, the Stamp Duty calculator, the maternity pay calculator, and the benefits eligibility checker",0
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,Dense,1,0e11863ce8a8,0.7981305,https://www.gov.uk/visas-when-you-separate-or-divorce/apply-stay-uk,"Content: Visas when you separate or divorce Skip contents Apply to stay in the UK If your visa is based on a relationship that’s ended you must apply if you want to stay in the UK. Apply as soon as possible after the relationship breaks down. Do not wait until your current visa expires. How to apply to stay in the UK You may be able to apply for a new visa, for example: a work visa as a parent of a child who’s British, settled in the UK or has lived in the UK for at least 7 years based on your private life in the UK , for example you’ve lived in the UK for a long time another type of visa Or you may be able to apply to settle in the UK (known as ‘indefinite leave to remain’)",0
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,Dense,2,9a7fb54b25d3,0.82002854,https://www.gov.uk/visas-when-you-separate-or-divorce/print,". Apply as soon as possible after the relationship breaks down. Do not wait until your current visa expires. How to apply to stay in the UK You may be able to apply for a new visa, for example: a work visa as a parent of a child who’s British, settled in the UK or has lived in the UK for at least 7 years based on your private life in the UK , for example you’ve lived in the UK for a long time another type of visa Or you may be able to apply to settle in the UK (known as ‘indefinite leave to remain’)",0
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,Dense,3,c30449214928,0.8405433,https://www.gov.uk/uk-family-visa/partner-spouse?step-by-step-nav=b86a99b4-40be-4c12-a61c-9fac22e53ddc,". You can apply for either: a Marriage Visitor visa if you’re not going to live in the UK £135 You are currently viewing: a fiancé visa if you want to live in the UK and you’re marrying a UK citizen or settled person £2,064 or Apply for a family permit You can apply for a family permit if you're marrying someone who is a citizen of: an EU country that is not the UK Iceland, Liechtenstein, Norway or Switzerland Apply for an EEA family permit Step 3 : Check what you can bring with you Check what you can bring with you Check what food, animals or plants you can bring into the UK Step 4 : Check what you need to show at the UK border Check what you need to show at the UK border Step 5 : Get married Find out the process for getting married in the UK Also part of Visit the UK for a holiday or to",0
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,Dense,4,68c547f68940,0.8412327,https://www.gov.uk/marriage-visa,". You must apply for British citizenship instead. What you can and cannot do You can: marry or enter into a civil partnership in the UK within 6 months of your arrival - you must use a venue licensed for this purpose pass through the UK in transit (on your way to another country) You cannot: get public funds (benefits) bring in family members (‘dependants’) - they must apply separately live in the UK for extended periods through frequent visits extend your visa or switch to another visa work - except for permitted activities related to your work or business overseas, such as attending meetings study You can read detailed guidance about what you can and cannot do with a Marriage Visitor visa . How long you can stay You can use this visa to visit the UK for up to 6 months",0
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,Full,1,bf9349e008c1,0.927040637,https://www.gov.uk/entering-staying-uk/family-visas,"Content: Get emails for this topic Services Family visas: apply, extend or switch Get a family visa for the UK, live with your spouse or relative - eligibility, proof, renewing, financial and English language requirements. Visit the UK for a holiday or to see family or friends What to do if you're visiting the UK for a holiday or to see family or friends: check if you’re eligible, if you need a visa, and what to do before you visit. Apply for an EU Settlement Scheme family permit to join family in the UK Get a free permit to join family from the EU, Switzerland, Norway, Iceland or Liechtenstein in the UK - check if you’re eligible, documents you need to apply",1
Q01,My wife is a British citizen and I want to move to the UK to live with her. Which visa should I apply for?,Full,2,cfc75bf38e73,0.910745502,immigration_data\immigration_rules_full_20260630.pdf,"United Kingdom and is on the same occasion seeking admission to the United 
Kingdom for the purposes of settlement and the parties were married or 
formed a civil partnership at least 4 years ago, since which time they have 
been living together outside the United Kingdom; and  
 
(b)(ii) the applicant has demonstrated sufficient knowledge of the English 
language and sufficient knowledge about life in the United Kingdom, in 
accordance with Appendix KoLL; and  
 
(b)(iii) DELETED  
 
(ii) the parties to the marriage or civil partnership have met; and  
 
(iii) each of the parties intends to live permanently with the other as his or her 
spouse or civil partner and the marriage or civil partnership is subsisting; and",0
